date,Indonesia,Vietnam,Cambodia,Singapore,Malaysia,Thailand,Philippines,Myanmar,Brunei,Laos
12-01-2021,0,0,0,3400,0,0,0,0,0,
13-01-2021,0,0,0,6200,0,0,0,0,0,
14-01-2021,0,0,0,6200,0,0,0,0,0,
15-01-2021,0,0,0,6200,0,0,0,0,0,
16-01-2021,0,0,0,6200,0,0,0,0,0,
17-01-2021,0,0,0,6200,0,0,0,0,0,
18-01-2021,0,0,0,6200,0,0,0,0,0,
19-01-2021,0,0,0,6200,0,0,0,0,0,
20-01-2021,0,0,0,6200,0,0,0,0,0,
21-01-2021,0,0,0,6200,0,0,0,0,0,
22-01-2021,132000,0,0,6200,0,0,0,0,0,
23-01-2021,132000,0,0,60000,0,0,0,0,0,
24-01-2021,149242,0,0,60000,0,0,0,0,0,
25-01-2021,161959,0,0,60000,0,0,0,0,0,
26-01-2021,245685,0,0,60000,0,0,0,0,0,
27-01-2021,308003,0,0,60000,0,0,0,3800,0,
28-01-2021,368318,0,0,113000,0,0,0,3800,0,
29-01-2021,405012,0,0,113000,0,0,0,3800,0,
30-01-2021,482145,0,0,113000,0,0,0,3800,0,
31-01-2021,493133,0,0,113000,0,0,0,3800,0,
01-02-2021,539532,0,0,155000,0,0,0,3800,0,
02-02-2021,596260,0,0,155000,0,0,0,3800,0,
03-02-2021,646026,0,0,175000,0,0,0,3800,0,
04-02-2021,700266,0,0,175000,0,0,0,3800,0,
05-02-2021,744884,0,0,175000,0,0,0,380000,0,
06-02-2021,777096,0,0,175000,0,0,0,380000,0,
07-02-2021,784318,0,0,175000,0,0,0,380000,0,
08-02-2021,814585,0,0,175000,0,0,0,380000,0,
09-02-2021,845407,0,0,175000,0,0,0,380000,0,
10-02-2021,969546,0,1492,175000,0,0,0,380000,0,
11-02-2021,1017186,0,1492,250000,0,0,0,380000,0,
12-02-2021,1017186,0,1492,250000,0,0,0,380000,0,
13-02-2021,1060326,0,1492,250000,0,0,0,380000,0,
14-02-2021,1068747,0,1492,250000,0,0,0,380000,0,
15-02-2021,1096095,0,1492,250000,0,0,0,380000,0,
16-02-2021,1120963,0,1492,250000,0,0,0,380000,0,
17-02-2021,1149939,0,3236,250000,0,0,0,380000,0,
18-02-2021,1164144,0,3236,250000,0,0,0,380000,0,
19-02-2021,1164144,0,4609,250000,0,0,0,380000,0,
20-02-2021,1224091,0,4609,250000,0,0,0,380000,0,
21-02-2021,1224091,0,4609,250000,0,0,0,380000,0,
22-02-2021,1224091,0,4609,250000,0,0,0,380000,0,
23-02-2021,1269905,0,7770,250000,0,0,0,380000,0,
24-02-2021,1363138,0,7770,250000,0,0,0,380000,0,
25-02-2021,1461920,0,13101,250000,0,0,0,380000,0,
26-02-2021,1583581,0,13101,250000,0,0,0,380000,0,
27-02-2021,1616165,0,13101,250000,3580,0,0,380000,0,
28-02-2021,1691724,0,13101,250000,3580,0,0,380000,0,
01-03-2021,1776336,0,84736,250000,25252,319,756,380000,0,
02-03-2021,1968057,0,108409,317715,53287,7262,2793,380000,0,
03-03-2021,2286123,0,125668,317715,80336,7262,2793,380000,0,
04-03-2021,2286123,0,140096,317715,99616,7262,10000,380000,0,
05-03-2021,2413615,0,153718,350000,112914,7262,10000,380000,0,
06-03-2021,2413615,0,162927,350000,127608,7262,25138,380000,0,
07-03-2021,2888757,0,167487,350000,139720,7262,29266,380000,0,
08-03-2021,2888757,377,175675,379000,166363,7262,44000,380000,0,
09-03-2021,2888757,522,188026,392620,195923,7262,89077,380000,0,
10-03-2021,3574698,955,214209,392620,223923,33621,114500,380000,0,
11-03-2021,3696059,1585,237379,392620,249909,33621,114500,380000,0,
12-03-2021,3769174,5248,255641,392620,275851,33621,114500,380000,0,
13-03-2021,3985596,10041,270466,392620,292104,53842,193492,380000,0,
14-03-2021,4020124,11605,279307,392620,301699,53842,193492,380000,0,105568
15-03-2021,4166862,15865,286020,392620,321331,53842,215997,380000,0,
16-03-2021,4468951,20695,297585,549254,346508,53842,216794,380000,0,
17-03-2021,4705248,24054,308459,549254,367213,53842,269583,380000,0,
18-03-2021,4838752,27546,308212,549254,384334,53842,240297,380000,0,
19-03-2021,5124948,30971,317247,549254,395006,53842,240297,380000,0,
20-03-2021,5533379,32361,322021,549254,402650,53842,336656,380000,0,
21-03-2021,5567280,33891,323689,549254,412342,53842,336656,380000,0,
22-03-2021,5732210,36082,328401,549254,422058,53842,336656,380000,0,
23-03-2021,6389837,37911,334311,771297,429868,53842,508332,380000,0,
24-03-2021,6389837,39817,341912,799000,436687,96188,508332,380000,0,
25-03-2021,6730456,42225,354087,799000,443124,96188,508332,380000,0,
26-03-2021,7179014,44000,366169,799000,446617,96188,508332,380000,0,
27-03-2021,7190663,44278,376147,799000,448187,96188,656331,380000,0,
28-03-2021,7435851,45140,383462,799000,451655,96188,656331,380000,0,
29-03-2021,7435851,46416,391456,799000,461907,96188,656331,380000,0,
30-03-2021,7435851,48256,400666,943307,473276,151413,737569,380000,0,
31-03-2021,8010163,49743,407249,943307,482808,151413,737569,1000000,0,
01-04-2021,8371577,51216,430117,943307,498468,151413,737569,1000000,0,
02-04-2021,8424729,52091,475856,943307,506069,189666,737569,1000000,0,
03-04-2021,8424729,52335,529935,943307,508481,189666,795320,1000000,340,
04-04-2021,8634321,52413,581591,1050000,514036,189666,795320,1000000,340,
05-04-2021,8634321,52868,635244,1050000,523233,247850,826607,1000000,340,
06-04-2021,9021106,53953,692569,1050000,534191,274354,872213,1000000,2323,
07-04-2021,9021106,55151,756526,1131658,546762,336808,872213,1000000,2323,
08-04-2021,9374089,56359,813826,1131658,558750,405911,872213,1000000,2323,
09-04-2021,9374089,58037,913171,1131658,565940,470301,872213,1000000,2323,
10-04-2021,10002901,58248,972028,1131658,571472,485957,872213,1000000,2323,
11-04-2021,10002901,58418,1018605,1131658,583903,498791,1007356,1000000,2323,
12-04-2021,10280073,59249,1099811,1131658,609153,498791,1053256,1000000,2323,
13-04-2021,10377734,60139,1170029,1131658,632668,505744,1093651,1000000,2323,
14-04-2021,10457337,62028,1203636,1131658,653531,505744,1093651,1000000,2323,
15-04-2021,10781266,63758,1223322,1131658,671589,510456,1093651,1000000,2323,
16-04-2021,10781266,66366,1241947,1131658,687176,523830,1093651,1000000,2323,
17-04-2021,10801563,67789,1253531,1131658,687176,526706,1264811,1000000,2323,
18-04-2021,10801563,79182,1257214,1131658,687176,526706,1264811,1000000,2323,
